Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,display:en,_order:1000
ca87c010-00a6-11ee-be56-0242ac120002,,Community Registration Encounter,Registration Encounters made from Offline App,,,,,
aa2f24b2-7d79-49be-bd01-3be80f8ccee6,,Community Consultation,Consultation Encounters made from Offline App,,,,,
