Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:10000
e2643ed2-0099-11ee-be56-0242ac120002,,,Offline UUID,Offline UUID,,Misc,Text,,,,
930fce86-009a-11ee-be56-0242ac120002,,,Offline Dates,Offline Dates,,Misc,Text,,,,
c0945160-009a-11ee-be56-0242ac120002,,,Offline Program Data,Offline Program Data,,Misc,Text,,,,
36afac18-009c-11ee-be56-0242ac120002,,,Offline Registration Form,Offline Registration Form,,Misc,N/A,,Offline UUID;Offline Dates,,
7daf07f2-00ed-11ee-be56-0242ac120002,,,Basic Vitals Form,Basic Vitals Form,,Misc,N/A,,9bb0795c-4ff0-0305-1990-000000000020;5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
addd2db5-e6f7-44f7-991d-466b23d76dcf,,,History and Examination,History and Examination,,Misc,N/A,,da47a35d-5806-48b7-b467-e29902759491;1390AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163201AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
