Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
,TRUE,givenNameLocal,,,,,,
,,phoneNumber,Phone Number,java.lang.String,,yes,,
,,alternatePhoneNumber,Alternate Phone Number,java.lang.String,,yes,,
021c8ef0-0c2a-11ee-be56-0242ac120002,,father/motherName, Father's/Mother's Name,java.lang.String,,yes,,
